Country,QuarterlyChange_people_fully_vaccinated,QuarterlyChange_total_cases,QuarterlyChange_total_deaths,YearlyChange_people_fully_vaccinated,YearlyChange_total_cases,YearlyChange_total_deaths,vaccinated_rate,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,YearlyChange_people_fully_vaccinatedRank,YearlyChange_total_casesRank,YearlyChange_total_deathsRank,vaccinated_rateRank
United States,0.05182060800588939,0.11612115905933718,0.11518190641872139,-0.9999748726631563,-0.7741832664637318,-0.7971192260948267,0.586645824274091,190,144,153,227,119,110,84
Upper middle income,0.13249413488871786,0.11256755489736125,0.09307665998925096,0.0,-0.8010571523902519,-0.840855865569015,0.649617804471679,151,143,143,155,108,100,60
Uruguay,0.02902631914309306,0.027683787230541324,0.0125516102394716,0.0,-0.9938761271773606,-0.9971351305758583,0.7622602973987935,201,79,64,154,10,10,21
Uzbekistan,0.2957218234738097,0.11106127260703302,0.1315577078288943,0.0,0.4732968956959829,4.385095507129405,0.1733299956550265,111,142,161,153,224,227,175
Vanuatu,1.796291132180703,0.5,0.0,0.0,-0.75,0.0,0.127550371425664,23,219,28,152,124,190,183
Vatican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,27,27,151,207,191,231
Venezuela,0.6477520073795151,0.16892521844712816,0.15104050123070034,0.0,-0.5913246989407746,-0.7294954089457144,0.3434453650097316,64,168,170,150,149,123,139
Vietnam,4.060407001187968,0.565696075269837,0.30832599347184075,0.0,-0.2717532950173013,inf,0.5061213778968475,11,224,200,149,172,235,106
Wallis and Futuna,0.16364353312302837,0.0,0.0,0.0,0.0,0.0,0.5319992788894898,142,26,26,148,209,192,103
World,0.2722741823461734,0.12210139670870279,0.09000993130014767,-0.9999394259482478,-0.7757342151576663,-0.8354029996009641,0.42979804256240234,117,146,140,225,117,102,121
Yemen,23.237105104299417,0.1033417889048196,0.13306217315514246,0.0,-0.9039351572580973,-0.7080290445156947,0.011851211120895171,3,137,162,147,78,127,224
Zambia,0.6634080702157121,0.005372023382413493,0.005208333333333259,0.0,-0.9983552925029099,-0.9975355691056911,0.03599948986972281,62,46,50,34,5,9,205
Zimbabwe,0.23444924477349804,0.0290857667023392,0.018170019467877996,0.0,-0.982475241066203,-0.9943140370113451,0.18582250360137054,124,85,75,1,24,12,174
