,Top exported products,Top imported products,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,vaccinated_rateRank,QuarterlyGdpChangeRank,QGDPRank,QuarterlyInflationRank,QuarterlyChangeIMPRank,IMPRank,QuarterlyChangeEXPRank,EXPRank,QuarterlyChangeNTRADERank,NTRADERank,QuarterlyUnemploymentRateChangeRank,QuarterlyUnemploymentRateRank,GdpTradeCompRank,Overall Rank
India,,,49.0,76.0,110.0,146.0,47.0,10.0,164.0,1.0,9.0,7.0,14.0,9.0,44.0,,,45,19
South Africa,,,67.0,68.0,95.0,160.0,26.0,44.0,63.0,38.0,32.0,46.0,29.0,40.0,14.0,,,15,20
Costa Rica,"['Optical, photographic & cinematographic', 'Edible Fruits & Nuts', 'Miscellaneous edible preparations', 'Electrical Machinery & Equipment', 'Preparations of vegetables & fruits']","['Electrical Machinery & Equipment', 'Mineral Fuels & Oils', 'Machinery & Mechanical Appliances', 'Vehicles', 'Plastics']",82.0,112.0,168.0,72.0,22.0,20.0,92.0,46.0,44.0,10.0,44.0,43.0,29.0,4.0,38.0,30,21
Netherlands,,,194.0,193.0,124.0,29.0,17.0,23.0,158.0,20.0,5.0,22.0,4.0,28.0,6.0,28.0,7.0,7,22
Australia,,,61.0,231.0,221.0,33.0,29.0,21.0,123.0,44.0,18.0,16.0,16.0,17.0,5.0,12.0,16.0,6,23
Brazil,[],"['Mineral fuels and oils', 'Electrical machinery and equipment', 'Machinery and mechanical appliances', 'Vehicles', 'Organic chemicals']",89.0,91.0,96.0,77.0,40.0,45.0,157.0,32.0,21.0,45.0,19.0,35.0,7.0,,,8,24
Israel,,,208.0,103.0,117.0,70.0,32.0,7.0,50.0,24.0,33.0,41.0,37.0,24.0,40.0,29.0,17.0,39,25
Estonia,,,163.0,212.0,203.0,79.0,4.0,3.0,11.0,3.0,46.0,6.0,46.0,11.0,22.0,25.0,22.0,23,26
Germany,,,185.0,203.0,134.0,44.0,23.0,37.0,97.0,35.0,3.0,36.0,3.0,31.0,3.0,32.0,10.0,4,27
Ireland,,,205.0,215.0,133.0,23.0,1.0,1.0,115.0,40.0,28.0,34.0,26.0,29.0,10.0,16.0,25.0,12,28
Iceland,,,211.0,219.0,121.0,9.0,5.0,15.0,85.0,34.0,45.0,20.0,45.0,34.0,24.0,3.0,19.0,25,29
New Zealand,,,46.0,233.0,225.0,38.0,12.0,6.0,179.0,7.0,40.0,35.0,39.0,5.0,31.0,2.0,9.0,32,30
Belgium,,,202.0,201.0,113.0,26.0,20.0,32.0,165.0,23.0,12.0,25.0,10.0,27.0,13.0,37.0,23.0,13,31
United States,[],"['Electrical machinery and equipment', 'Machinery & mechanical appliances', 'Vehicles', 'Mineral fuels & oils', 'Pharmaceutical Products']",189.0,145.0,152.0,83.0,33.0,24.0,131.0,22.0,1.0,27.0,2.0,30.0,46.0,7.0,18.0,47,32
Slovenia,,,158.0,213.0,167.0,93.0,18.0,12.0,134.0,4.0,39.0,12.0,36.0,3.0,25.0,9.0,12.0,26,33
Finland,,,141.0,191.0,187.0,32.0,28.0,28.0,125.0,14.0,35.0,8.0,34.0,39.0,26.0,20.0,30.0,27,34
Poland,,,188.0,178.0,149.0,99.0,14.0,5.0,151.0,28.0,15.0,37.0,17.0,1.0,33.0,26.0,8.0,34,35
Denmark,,,210.0,200.0,140.0,19.0,16.0,16.0,138.0,39.0,27.0,42.0,30.0,45.0,21.0,13.0,15.0,22,36
Austria,,,167.0,224.0,160.0,55.0,9.0,31.0,103.0,37.0,20.0,32.0,24.0,36.0,34.0,6.0,21.0,35,37
Turkey,,,150.0,182.0,182.0,80.0,27.0,2.0,180.0,8.0,17.0,15.0,22.0,16.0,42.0,30.0,1.0,42,38
United Kingdom,,,198.0,195.0,120.0,43.0,25.0,38.0,152.0,25.0,7.0,40.0,13.0,23.0,45.0,15.0,14.0,46,39
Russia,"['Mineral fuels & oils', 'Iron & steel', 'Natural pearls & precious stones', 'Machinery & mechanical appliances', 'Wood']","['Electrical machinery and equipment', 'Machinery & mechanical appliances', 'Vehicles', 'Pharmaceutical products', 'Plastics']",102.0,189.0,201.0,132.0,8.0,29.0,153.0,41.0,16.0,3.0,9.0,14.0,2.0,,,3,40
Latvia,,,94.0,226.0,222.0,69.0,36.0,19.0,150.0,9.0,42.0,13.0,42.0,21.0,28.0,18.0,28.0,29,41
Hungary,,,199.0,194.0,159.0,76.0,30.0,11.0,149.0,31.0,26.0,43.0,28.0,46.0,27.0,31.0,11.0,28,42
Lithuania,,,172.0,209.0,206.0,51.0,39.0,9.0,169.0,12.0,41.0,29.0,40.0,7.0,30.0,24.0,27.0,31,43
Greece,,,174.0,208.0,186.0,66.0,7.0,40.0,166.0,11.0,36.0,21.0,38.0,25.0,39.0,5.0,36.0,41,44
Slovakia,,,196.0,214.0,164.0,120.0,35.0,26.0,107.0,43.0,29.0,39.0,31.0,42.0,23.0,22.0,26.0,24,45
Romania,,,98.0,216.0,220.0,131.0,37.0,4.0,170.0,,,,,,,,,2,46
Bulgaria,,,106.0,204.0,207.0,154.0,31.0,18.0,171.0,,,,,,,,,1,47
